WI,EI,II,HI
0.255112239,0.104347826,0.431344772,0.534965219
0.268407348,0.90531401,0.484186004,0.536730479
0.099986192,0.52173913,0.268565824,0.324890065
0,0.408695652,0,0
0.14197888,0.457971014,0.509269647,0.23830803
0.798551477,0.773913043,0.313927982,0
1,0.457004831,0.449645647,0.819996421
0.357856739,0.342028986,0.500252308,0.53711779
0.442065673,0.354589372,0.38574904,0.429440943
0.345554489,0.44057971,0.72317173,0.589303585
0.140746025,0,0.322951408,0.539208704
0.073478164,0.497584541,0,0
0.38696527,0.369082126,0.589646151,0.571538009
0.38704746,0.339130435,0.548964371,0.83022997
0.105900609,0.394202899,0.537722889,0.265151394
0.380883185,0.395169082,0.644988953,0.552219207
0.082331707,0.930434783,0.481325194,0
0.126349565,1,0.366604152,0.339543475
0.275012164,0.89468599,0.554198049,0.656361724
0.171159739,0.4,0.965421584,0.482192828
0.112406796,0.373913043,0.632765296,0.200898069
0.290802572,0.434782609,0.579379283,0.57693738
0.174319135,0.265700483,0.546919716,0.37936577
0.7087536,0.931400966,0.500384543,0.631095811
0.361759136,0.394202899,0.465248387,0.66928079
0.363070894,0.363285024,0.344173657,0.566944414
0.175150901,0.711111111,0.640095493,0.491650411
0.054765067,0.12173913,0.218985478,0
0.385268861,0.28115942,0.530678337,0.56937529
0.149875728,0.469565217,0.195898118,0.447771046
